trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled,timepoint
"shuttle433","15:41:00","15:41:00","777403","1","San Jose Diridon","0","0","0.00000000",1
"shuttle433","15:53:00","15:53:00","777402","2","San Jose Diridon","0","0","3430.70338970",1
"shuttle505H","16:18:00","16:18:00","777403","1","San Jose Diridon","0","0","0.00000000",1
"shuttle505H","16:30:00","16:30:00","777402","2","San Jose Diridon","0","0","3430.70338970",1
"shuttle803H","16:54:00","16:54:00","777403","1","San Jose Diridon","0","0","0.00000000",1
"shuttle803H","17:06:00","17:06:00","777402","2","San Jose Diridon","0","0","3430.70338970",1
"shuttle803","16:54:00","16:54:00","777403","1","San Jose Diridon","0","0","0.00000000",1
"shuttle803","17:06:00","17:06:00","777402","2","San Jose Diridon","0","0","3430.70338970",1
"shuttle435","17:16:00","17:16:00","777403","1","San Jose Diridon","0","0","0.00000000",1
"shuttle435","17:28:00","17:28:00","777402","2","San Jose Diridon","0","0","3430.70338970",1
"shuttle435H","17:16:00","17:16:00","777403","1","San Jose Diridon","0","0","0.00000000",1
"shuttle435H","17:28:00","17:28:00","777402","2","San Jose Diridon","0","0","3430.70338970",1
"shuttle507H","17:41:00","17:41:00","777403","1","San Jose Diridon","0","0","0.00000000",1
"shuttle507H","17:53:00","17:53:00","777402","2","San Jose Diridon","0","0","3430.70338970",1
"shuttle437H","18:41:00","18:41:00","777403","1","San Jose Diridon","0","0","0.00000000",1
"shuttle437H","18:53:00","18:53:00","777402","2","San Jose Diridon","0","0","3430.70338970",1
"shuttle437","18:41:00","18:41:00","777403","1","San Jose Diridon","0","0","0.00000000",1
"shuttle437","18:53:00","18:53:00","777402","2","San Jose Diridon","0","0","3430.70338970",1
"shuttle439H","20:11:00","20:11:00","777403","1","San Jose Diridon","0","0","0.00000000",1
"shuttle439H","20:23:00","20:23:00","777402","2","San Jose Diridon","0","0","3430.70338970",1
"shuttle439","20:11:00","20:11:00","777403","1","San Jose Diridon","0","0","0.00000000",1
"shuttle439","20:23:00","20:23:00","777402","2","San Jose Diridon","0","0","3430.70338970",1
"shuttle441H","21:41:00","21:41:00","777403","1","San Jose Diridon","0","0","0.00000000",1
"shuttle441H","21:53:00","21:53:00","777402","2","San Jose Diridon","0","0","3430.70338970",1
"shuttle441","21:41:00","21:41:00","777403","1","San Jose Diridon","0","0","0.00000000",1
"shuttle441","21:53:00","21:53:00","777402","2","San Jose Diridon","0","0","3430.70338970",1
"217","6:06:00","6:06:00","70321","1","San Francisco","0","0","0.00000000",1
"217","6:15:00","6:15:00","70311","2","San Francisco","0","0","9881.41415530",1
"217","6:21:00","6:21:00","70301","3","San Francisco","0","0","15979.11320253",1
"217","6:36:00","6:36:00","70291","4","San Francisco","0","0","35028.53945594",1
"217","6:42:00","6:42:00","70281","5","San Francisco","0","0","40331.65111695",1
"217","6:50:00","6:50:00","70271","6","San Francisco","0","0","45313.50048631",1
"217","6:59:00","6:59:00","70261","7","San Francisco","0","0","48214.83718408",1
"217","7:06:00","7:06:00","70241","8","San Francisco","0","0","52340.36204545",1
"217","7:12:00","7:12:00","70231","9","San Francisco","0","0","58235.70926219",1
"217","7:20:00","7:20:00","70221","10","San Francisco","0","0","61422.80375233",1
"217","7:25:00","7:25:00","70211","11","San Francisco","0","0","65737.00541799",1
"217","7:29:00","7:29:00","70201","12","San Francisco","0","0","68845.18917125",1
"217","7:34:00","7:34:00","70191","13","San Francisco","0","0","72788.77166154",1
"217","7:38:00","7:38:00","70171","14","San Francisco","0","0","75336.71798099",1
"217","7:41:00","7:41:00","70161","15","San Francisco","0","0","77347.47776289",1
"217","7:47:00","7:47:00","70141","16","San Francisco","0","0","82949.08269304",1
"217","7:54:00","7:54:00","70111","17","San Francisco","0","0","91117.75198015",1
"217","8:03:00","8:03:00","70061","18","San Francisco","0","0","101881.00658485",1
"217","8:09:00","8:09:00","70041","19","San Francisco","0","0","109000.71078142",1
"217","8:24:00","8:24:00","70011","20","San Francisco","0","0","123617.86043232",1
"222","7:45:00","7:45:00","70012","1","San Jose Diridon","0","0","0.00000000",1
"222","7:51:00","7:51:00","70022","2","San Jose Diridon","0","0","2521.94934933",1
"222","8:04:00","8:04:00","70062","3","San Jose Diridon","0","0","21732.19392439",1
"222","8:11:00","8:11:00","70092","4","San Jose Diridon","0","0","28352.53679799",1
"222","8:18:00","8:18:00","70132","5","San Jose Diridon","0","0","37184.49927385",1
"222","8:23:00","8:23:00","70142","6","San Jose Diridon","0","0","40678.55997676",1
"222","8:29:00","8:29:00","70162","7","San Jose Diridon","0","0","46279.12668894",1
"222","8:33:00","8:33:00","70172","8","San Jose Diridon","0","0","48290.50900363",1
"222","8:37:00","8:37:00","70192","9","San Jose Diridon","0","0","50838.77890841",1
"222","8:41:00","8:41:00","70202","10","San Jose Diridon","0","0","54778.46401936",1
"222","8:46:00","8:46:00","70212","11","San Jose Diridon","0","0","57886.87829472",1
"222","8:51:00","8:51:00","70222","12","San Jose Diridon","0","0","62199.39571487",1
"222","8:56:00","8:56:00","70232","13","San Jose Diridon","0","0","65389.33948832",1
"222","9:03:00","9:03:00","70242","14","San Jose Diridon","0","0","71279.01961980",1
"222","9:12:00","9:12:00","70262","15","San Jose Diridon","0","0","75404.30742474",1
"232","8:45:00","8:45:00","70012","1","San Jose Diridon","0","0","0.00000000",1
"232","8:49:00","8:49:00","70022","2","San Jose Diridon","0","0","2521.94934933",1
"232","9:02:00","9:02:00","70062","3","San Jose Diridon","0","0","21732.19392439",1
"232","9:09:00","9:09:00","70092","4","San Jose Diridon","0","0","28352.53679799",1
"232","9:13:00","9:13:00","70112","5","San Jose Diridon","0","0","32500.48203410",1
"232","9:18:00","9:18:00","70132","6","San Jose Diridon","0","0","37179.86693295",1
"232","9:23:00","9:23:00","70142","7","San Jose Diridon","0","0","40672.92414702",1
"232","9:29:00","9:29:00","70162","8","San Jose Diridon","0","0","46273.49085921",1
"232","9:33:00","9:33:00","70172","9","San Jose Diridon","0","0","48284.87317390",1
"232","9:37:00","9:37:00","70192","10","San Jose Diridon","0","0","50833.14307867",1
"232","9:41:00","9:41:00","70202","11","San Jose Diridon","0","0","54772.82818963",1
"232","9:46:00","9:46:00","70212","12","San Jose Diridon","0","0","57881.24246499",1
"232","9:51:00","9:51:00","70222","13","San Jose Diridon","0","0","62193.75988514",1
"232","9:56:00","9:56:00","70232","14","San Jose Diridon","0","0","65383.70365858",1
"232","10:03:00","10:03:00","70242","15","San Jose Diridon","0","0","71273.38379007",1
"232","10:11:00","10:11:00","70262","16","San Jose Diridon","0","0","75398.67159500",1
"211","6:23:00","6:23:00","70261","1","San Francisco","0","0","0.00000000",1
"211","6:28:00","6:28:00","70241","2","San Francisco","0","0","4121.03122797",1
"211","6:36:00","6:36:00","70221","3","San Francisco","0","0","13198.98782163",1
"211","6:42:00","6:42:00","70211","4","San Francisco","0","0","17515.70301855",1
"211","6:48:00","6:48:00","70191","5","San Francisco","0","0","24562.24007722",1
"211","6:54:00","6:54:00","70161","6","San Francisco","0","0","29122.01509755",1
"211","6:59:00","6:59:00","70141","7","San Francisco","0","0","34725.87044361",1
"211","7:04:00","7:04:00","70131","8","San Francisco","0","0","38217.48601657",1
"211","7:07:00","7:07:00","70121","9","San Francisco","0","0","40203.00640096",1
"211","7:11:00","7:11:00","70111","10","San Francisco","0","0","42896.37874550",1
"211","7:14:00","7:14:00","70101","11","San Francisco","0","0","44885.95131015",1
"211","7:18:00","7:18:00","70091","12","San Francisco","0","0","47019.52503562",1
"211","7:21:00","7:21:00","70081","13","San Francisco","0","0","49343.94188980",1
"211","7:26:00","7:26:00","70061","14","San Francisco","0","0","53662.28649040",1
"211","7:30:00","7:30:00","70051","15","San Francisco","0","0","57812.10359587",1
"211","7:34:00","7:34:00","70041","16","San Francisco","0","0","60781.08010155",1
"211","7:41:00","7:41:00","70031","17","San Francisco","0","0","67456.26447056",1
"211","7:50:00","7:50:00","70021","18","San Francisco","0","0","72874.72814667",1
"211","7:57:00","7:57:00","70011","19","San Francisco","0","0","75397.87394674",1
"227","7:06:00","7:06:00","70321","1","San Francisco","0","0","0.00000000",1
"227","7:15:00","7:15:00","70311","2","San Francisco","0","0","9881.41415530",1
"227","7:21:00","7:21:00","70301","3","San Francisco","0","0","15979.11320253",1
"227","7:36:00","7:36:00","70291","4","San Francisco","0","0","35028.53945594",1
"227","7:42:00","7:42:00","70281","5","San Francisco","0","0","40331.65111695",1
"227","7:53:00","7:53:00","70271","6","San Francisco","0","0","45313.50048631",1
"227","7:59:00","7:59:00","70261","7","San Francisco","0","0","48214.83718408",1
"227","8:03:00","8:03:00","70251","8","San Francisco","0","0","50083.68641906",1
"227","8:08:00","8:08:00","70241","9","San Francisco","0","0","52336.75698299",1
"227","8:15:00","8:15:00","70231","10","San Francisco","0","0","58222.99437136",1
"227","8:22:00","8:22:00","70221","11","San Francisco","0","0","61410.08886151",1
"227","8:28:00","8:28:00","70211","12","San Francisco","0","0","65724.29052717",1
"227","8:32:00","8:32:00","70201","13","San Francisco","0","0","68832.47428043",1
"227","8:36:00","8:36:00","70191","14","San Francisco","0","0","72776.05677072",1
"227","8:41:00","8:41:00","70171","15","San Francisco","0","0","75324.00309017",1
"227","8:44:00","8:44:00","70161","16","San Francisco","0","0","77334.76287207",1
"227","8:51:00","8:51:00","70141","17","San Francisco","0","0","82936.36780222",1
"227","8:59:00","8:59:00","70111","18","San Francisco","0","0","91105.03708933",1
"227","9:08:00","9:08:00","70061","19","San Francisco","0","0","101868.29169402",1
"227","9:14:00","9:14:00","70041","20","San Francisco","0","0","108987.99589060",1
"227","9:29:00","9:29:00","70011","21","San Francisco","0","0","123605.14554149",1
"268","16:58:00","16:58:00","70012","1","Gilroy","0","0","0.00000000",1
"268","17:11:00","17:11:00","70042","2","Gilroy","0","0","14615.55554576",1
"268","17:17:00","17:17:00","70062","3","Gilroy","0","0","21730.89169626",1
"268","17:25:00","17:25:00","70112","4","Gilroy","0","0","32494.77321081",1
"268","17:35:00","17:35:00","70142","5","Gilroy","0","0","40663.56843063",1
"268","17:41:00","17:41:00","70162","6","Gilroy","0","0","46262.98967648",1
"268","17:45:00","17:45:00","70172","7","Gilroy","0","0","48274.37199117",1
"268","17:48:00","17:48:00","70192","8","Gilroy","0","0","50822.64189595",1
"268","17:52:00","17:52:00","70202","9","Gilroy","0","0","54762.32700690",1
"268","17:57:00","17:57:00","70212","10","Gilroy","0","0","57870.74128226",1
"268","18:02:00","18:02:00","70222","11","Gilroy","0","0","62183.25870241",1
"268","18:08:00","18:08:00","70232","12","Gilroy","0","0","65373.20247586",1
"268","18:15:00","18:15:00","70242","13","Gilroy","0","0","71262.88260734",1
"268","18:26:00","18:26:00","70262","14","Gilroy","0","0","75388.17041222",1
"268","18:31:00","18:31:00","70272","15","Gilroy","0","0","78276.13789027",1
"268","18:38:00","18:38:00","70282","16","Gilroy","0","0","83275.34947057",1
"268","18:44:00","18:44:00","70292","17","Gilroy","0","0","88579.55189459",1
"268","18:57:00","18:57:00","70302","18","Gilroy","0","0","107630.31725943",1
"268","19:03:00","19:03:00","70312","19","Gilroy","0","0","113547.86675948",1
"268","19:18:00","19:18:00","70322","20","Gilroy","0","0","123609.46148145",1
"216","7:05:00","7:05:00","70012","1","San Jose Diridon","0","0","0.00000000",1
"216","7:10:00","7:10:00","70022","2","San Jose Diridon","0","0","2521.94934933",1
"216","7:20:00","7:20:00","70052","3","San Jose Diridon","0","0","17579.63984673",1
"216","7:27:00","7:27:00","70082","4","San Jose Diridon","0","0","26041.62968715",1
"216","7:31:00","7:31:00","70092","5","San Jose Diridon","0","0","28349.11732212",1
"216","7:35:00","7:35:00","70112","6","San Jose Diridon","0","0","32496.50126159",1
"216","7:40:00","7:40:00","70132","7","San Jose Diridon","0","0","37175.88616045",1
"216","7:48:00","7:48:00","70162","8","San Jose Diridon","0","0","46268.30166734",1
"216","7:52:00","7:52:00","70172","9","San Jose Diridon","0","0","48277.52248188",1
"216","7:59:00","7:59:00","70212","10","San Jose Diridon","0","0","57869.84944612",1
"216","8:07:00","8:07:00","70232","11","San Jose Diridon","0","0","65364.81864983",1
"216","8:20:00","8:20:00","70262","12","San Jose Diridon","0","0","75377.78421282",1
"226","8:05:00","8:05:00","70012","1","San Jose Diridon","0","0","0.00000000",1
"226","8:10:00","8:10:00","70022","2","San Jose Diridon","0","0","2521.94934933",1
"226","8:20:00","8:20:00","70052","3","San Jose Diridon","0","0","17579.63984673",1
"226","8:27:00","8:27:00","70082","4","San Jose Diridon","0","0","26041.62968715",1
"226","8:31:00","8:31:00","70092","5","San Jose Diridon","0","0","28349.11732212",1
"226","8:35:00","8:35:00","70112","6","San Jose Diridon","0","0","32496.50126159",1
"226","8:40:00","8:40:00","70132","7","San Jose Diridon","0","0","37175.88616045",1
"226","8:48:00","8:48:00","70162","8","San Jose Diridon","0","0","46268.30166734",1
"226","8:52:00","8:52:00","70172","9","San Jose Diridon","0","0","48277.52248188",1
"226","8:59:00","8:59:00","70212","10","San Jose Diridon","0","0","57869.84944612",1
"226","9:07:00","9:07:00","70232","11","San Jose Diridon","0","0","65364.81864983",1
"226","9:20:00","9:20:00","70262","12","San Jose Diridon","0","0","75377.78421282",1
"287","18:35:00","18:35:00","70261","1","San Francisco","0","0","0.00000000",1
"287","18:45:00","18:45:00","70231","2","San Francisco","0","0","10003.83880271",1
"287","18:49:00","18:49:00","70221","3","San Francisco","0","0","13191.13899796",1
"287","18:54:00","18:54:00","70211","4","San Francisco","0","0","17505.34066362",1
"287","19:02:00","19:02:00","70171","5","San Francisco","0","0","27100.75315143",1
"287","19:05:00","19:05:00","70161","6","San Francisco","0","0","29111.77816452",1
"287","19:13:00","19:13:00","70131","7","San Francisco","0","0","38205.77459484",1
"287","19:17:00","19:17:00","70111","8","San Francisco","0","0","42880.25775092",1
"287","19:21:00","19:21:00","70091","9","San Francisco","0","0","46995.90611255",1
"287","19:25:00","19:25:00","70081","10","San Francisco","0","0","49320.95358721",1
"287","19:32:00","19:32:00","70051","11","San Francisco","0","0","57790.70691850",1
"287","19:43:00","19:43:00","70021","12","San Francisco","0","0","72852.20675474",1
"287","19:50:00","19:50:00","70011","13","San Francisco","0","0","75373.79309722",1
"236","9:43:00","9:43:00","70012","1","Tamien","0","0","0.00000000",1
"236","9:57:00","9:57:00","70052","2","Tamien","0","0","17578.29939273",1
"236","10:01:00","10:01:00","70062","3","Tamien","0","0","21733.20630226",1
"236","10:06:00","10:06:00","70082","4","Tamien","0","0","26045.03145242",1
"236","10:09:00","10:09:00","70092","5","Tamien","0","0","28352.87906391",1
"236","10:13:00","10:13:00","70112","6","Tamien","0","0","32500.26300338",1
"236","10:17:00","10:17:00","70122","7","Tamien","0","0","35195.19758185",1
"236","10:20:00","10:20:00","70132","8","Tamien","0","0","37186.07511992",1
"236","10:25:00","10:25:00","70142","9","Tamien","0","0","40678.69324159",1
"236","10:30:00","10:30:00","70162","10","Tamien","0","0","46279.25995377",1
"236","10:34:00","10:34:00","70172","11","Tamien","0","0","48290.64226846",1
"236","10:37:00","10:37:00","70192","12","Tamien","0","0","50838.91217324",1
"236","10:42:00","10:42:00","70202","13","Tamien","0","0","54778.59728420",1
"236","10:46:00","10:46:00","70212","14","Tamien","0","0","57887.01155956",1
"236","10:51:00","10:51:00","70222","15","Tamien","0","0","62199.52897971",1
"236","10:55:00","10:55:00","70232","16","Tamien","0","0","65389.47275315",1
"236","11:01:00","11:01:00","70242","17","Tamien","0","0","71279.15288464",1
"236","11:11:00","11:11:00","70262","18","Tamien","0","0","75404.44068951",1
"236","11:17:00","11:17:00","70272","19","Tamien","0","0","78292.40816760",1
"254","14:43:00","14:43:00","70012","1","Tamien","0","0","0.00000000",1
"254","14:57:00","14:57:00","70052","2","Tamien","0","0","17578.29939273",1
"254","15:01:00","15:01:00","70062","3","Tamien","0","0","21733.20630226",1
"254","15:06:00","15:06:00","70082","4","Tamien","0","0","26045.03145242",1
"254","15:09:00","15:09:00","70092","5","Tamien","0","0","28352.87906391",1
"254","15:13:00","15:13:00","70112","6","Tamien","0","0","32500.26300338",1
"254","15:17:00","15:17:00","70122","7","Tamien","0","0","35195.19758185",1
"254","15:20:00","15:20:00","70132","8","Tamien","0","0","37186.07511992",1
"254","15:25:00","15:25:00","70142","9","Tamien","0","0","40678.69324159",1
"254","15:30:00","15:30:00","70162","10","Tamien","0","0","46279.25995377",1
"254","15:34:00","15:34:00","70172","11","Tamien","0","0","48290.64226846",1
"254","15:38:00","15:38:00","70192","12","Tamien","0","0","50838.91217324",1
"254","15:42:00","15:42:00","70202","13","Tamien","0","0","54778.59728420",1
"254","15:47:00","15:47:00","70212","14","Tamien","0","0","57887.01155956",1
"254","15:52:00","15:52:00","70222","15","Tamien","0","0","62199.52897971",1
"254","15:56:00","15:56:00","70232","16","Tamien","0","0","65389.47275315",1
"254","16:01:00","16:01:00","70242","17","Tamien","0","0","71279.15288464",1
"254","16:10:00","16:10:00","70262","18","Tamien","0","0","75404.44068951",1
"254","16:15:00","16:15:00","70272","19","Tamien","0","0","78292.40816760",1
"258","15:34:00","15:34:00","70012","1","Tamien","0","0","0.00000000",1
"258","15:48:00","15:48:00","70052","2","Tamien","0","0","17578.29939273",1
"258","15:53:00","15:53:00","70062","3","Tamien","0","0","21733.20630226",1
"258","15:58:00","15:58:00","70082","4","Tamien","0","0","26045.03145242",1
"258","16:01:00","16:01:00","70092","5","Tamien","0","0","28352.87906391",1
"258","16:06:00","16:06:00","70112","6","Tamien","0","0","32500.26300338",1
"258","16:10:00","16:10:00","70122","7","Tamien","0","0","35195.19758185",1
"258","16:13:00","16:13:00","70132","8","Tamien","0","0","37186.07511992",1
"258","16:18:00","16:18:00","70142","9","Tamien","0","0","40678.69324159",1
"258","16:24:00","16:24:00","70162","10","Tamien","0","0","46279.25995377",1
"258","16:28:00","16:28:00","70172","11","Tamien","0","0","48290.64226846",1
"258","16:31:00","16:31:00","70192","12","Tamien","0","0","50838.91217324",1
"258","16:36:00","16:36:00","70202","13","Tamien","0","0","54778.59728420",1
"258","16:40:00","16:40:00","70212","14","Tamien","0","0","57887.01155956",1
"258","16:46:00","16:46:00","70222","15","Tamien","0","0","62199.52897971",1
"258","16:50:00","16:50:00","70232","16","Tamien","0","0","65389.47275315",1
"258","16:55:00","16:55:00","70242","17","Tamien","0","0","71279.15288464",1
"258","17:05:00","17:05:00","70262","18","Tamien","0","0","75404.44068951",1
"258","17:10:00","17:10:00","70272","19","Tamien","0","0","78292.40816760",1
"212","6:45:00","6:45:00","70012","1","San Jose Diridon","0","0","0.00000000",1
"212","6:51:00","6:51:00","70022","2","San Jose Diridon","0","0","2521.94934933",1
"212","7:04:00","7:04:00","70062","3","San Jose Diridon","0","0","21732.19392439",1
"212","7:11:00","7:11:00","70092","4","San Jose Diridon","0","0","28352.53679799",1
"212","7:18:00","7:18:00","70132","5","San Jose Diridon","0","0","37184.49927385",1
"212","7:23:00","7:23:00","70142","6","San Jose Diridon","0","0","40678.55997676",1
"212","7:29:00","7:29:00","70162","7","San Jose Diridon","0","0","46279.12668894",1
"212","7:33:00","7:33:00","70172","8","San Jose Diridon","0","0","48290.50900363",1
"212","7:37:00","7:37:00","70192","9","San Jose Diridon","0","0","50838.77890841",1
"212","7:41:00","7:41:00","70202","10","San Jose Diridon","0","0","54778.46401936",1
"212","7:46:00","7:46:00","70212","11","San Jose Diridon","0","0","57886.87829472",1
"212","7:51:00","7:51:00","70222","12","San Jose Diridon","0","0","62199.39571487",1
"212","7:56:00","7:56:00","70232","13","San Jose Diridon","0","0","65389.33948832",1
"212","8:03:00","8:03:00","70242","14","San Jose Diridon","0","0","71279.01961980",1
"212","8:06:00","8:06:00","70252","15","San Jose Diridon","0","0","73531.45022954",1
"212","8:12:00","8:12:00","70262","16","San Jose Diridon","0","0","75403.97891929",1
"261","15:32:00","15:32:00","70271","1","San Francisco","0","0","0.00000000",1
"261","15:40:00","15:40:00","70261","2","San Francisco","0","0","2898.26431637",1
"261","15:45:00","15:45:00","70241","3","San Francisco","0","0","7023.78917774",1
"261","15:50:00","15:50:00","70231","4","San Francisco","0","0","12919.13639448",1
"261","15:57:00","15:57:00","70221","5","San Francisco","0","0","16106.23088462",1
"261","16:02:00","16:02:00","70211","6","San Francisco","0","0","20420.43255028",1
"261","16:06:00","16:06:00","70201","7","San Francisco","0","0","23528.61630354",1
"261","16:11:00","16:11:00","70191","8","San Francisco","0","0","27472.19879384",1
"261","16:15:00","16:15:00","70171","9","San Francisco","0","0","30020.14511328",1
"261","16:19:00","16:19:00","70161","10","San Francisco","0","0","32030.90489518",1
"261","16:24:00","16:24:00","70141","11","San Francisco","0","0","37632.50982533",1
"261","16:29:00","16:29:00","70131","12","San Francisco","0","0","41124.12539828",1
"261","16:36:00","16:36:00","70091","13","San Francisco","0","0","49918.71063818",1
"261","16:42:00","16:42:00","70061","14","San Francisco","0","0","56572.29868355",1
"261","16:56:00","16:56:00","70021","15","San Francisco","0","0","75784.02026952",1
"261","17:02:00","17:02:00","70011","16","San Francisco","0","0","78307.17317776",1
"269","16:33:00","16:33:00","70271","1","San Francisco","0","0","0.00000000",1
